iter	Logloss
0	0.672905453
1	0.6627748461
2	0.6573342773
3	0.6553237251
4	0.652576518
5	0.6508604114
6	0.6496987744
7	0.6488223033
8	0.6481970631
9	0.6477387707
10	0.6473287579
11	0.6470474948
12	0.646844535
13	0.6466704027
14	0.6464972871
15	0.6464125612
16	0.646324976
17	0.6462423234
18	0.6462018507
19	0.6461520348
20	0.6461186497
21	0.6461215893
22	0.6460485203
23	0.6460687622
24	0.6460317309
25	0.6460176911
26	0.6460283561
27	0.6460199552
28	0.6459938746
29	0.6459761656
30	0.6459782486
31	0.6459976424
32	0.6459766775
33	0.6459917245
34	0.6459876842
35	0.6459839971
36	0.6460124917
37	0.6459647846
38	0.646008756
39	0.6460087986
40	0.6459910828
41	0.6459910828
42	0.6459910828
43	0.6459910828
44	0.6459910828
45	0.6459910824646	046	0.646034747	0.6459910824848	0.6459910828
49	0.645991082505050	0.64605675151	0.6459825005252	0.6459769405353	0.645976940545454	0.646042455	055	0.646037356	056	0.646040857	057	0.646015958	058	0.646031559	59	0.6460548460	60	0.6460492761	61	0.6460421062	62	0.6460421063	63	0.6460421064	64	0.6460421065	0.6461795407
66	0.6461795407
67	0.6461801379
68	0.6461801379
69	0.6461801308
70	0.6461801308
71	0.6461805289
72	0.6461844141
73	0.6461788939
74	0.646178869
75	0.6461814958
76	0.6461814923
77	0.6461812897
78	0.6461812897
79	0.6461813181
80	0.6461826475
81	0.6461728939
82	0.6461724994
83	0.6461725669
84	0.64617674
85	0.6461712767
86	0.6461945268
87	0.6461945446
88	0.6461951347
89	0.6461636381
90	0.6461643454
91	0.6461641215
92	0.6461628312
93	0.646162163
94	0.6461729296
95	0.6461733313
96	0.6461732886
97	0.6461732922
98	0.6461732886
99	0.6461732602
100	0.6461744865
101	0.6461743088
102	0.6461745576
103	0.6461735837
104	0.6461739889
105	0.6461784427
106	0.6461722329
107	0.6461722294
108	0.6461722507
109	0.6461722863
110	0.6461722827
111	0.6461723111
112	0.6461722436
113	0.6461766512
114	0.6461766548
115	0.6461766335
116	0.6461766548
117	0.6461765517
118	0.646176246
119	0.6461762389
120	0.6461765482
121	0.6461765091
122	0.646175759
123	0.646175791
124	0.646175791
125	0.6461758017
126	0.6461757022
127	0.6461760434
128	0.6461760683
129	0.6461761145
130	0.6461761074
131	0.6461761074
132	0.6461760967
133	0.6461760932
134	0.6461760754
135	0.6461760754
136	0.646176015
137	0.6461760754
138	0.6461760363
139	0.6461760363
140	0.6461758657
141	0.6461758693
142	0.6461758728
143	0.6461752543
144	0.6461754214
145	0.6461758266
146	0.6461755351
147	0.6461497293
148	0.6461499746
149	0.6461499461
150	0.6461493774
151	0.6461494627
152	0.6461493241
153	0.6461491464
154	0.6461494627
155	0.6461492779
156	0.6461503514
157	0.646148272
158	0.6461483004
159	0.6461482613
160	0.6461482435
161	0.6461481938
162	0.6461478419
163	0.6461478454
164	0.6461478454
165	0.6461478774
166	0.6461478952
167	0.6461478383
168	0.6461478419
169	0.6461478526
170	0.646147849
171	0.6461478526
172	0.6461478312
173	0.6461478312
174	0.6461478454
175	0.6461478348
176	0.6461478774
177	0.6461478383
178	0.6461478454
179	0.6461478774
180	0.6461478845
181	0.6461478561
182	0.6461478561
183	0.646147849
184	0.6461478597
185	0.6461478526
186	0.646147849
187	0.646147849
188	0.646147849
189	0.646147849
190	0.646147849
191	0.646147849
192	0.646147849
193	0.646147849
194	0.646147849
195	0.646147849
196	0.646147849
197	0.646147849
198	0.646147849
199	0.646147849
200	0.646147849
201	0.646147849
202	0.646147849
203	0.646147849
204	0.646147849
205	0.646147849
206	0.646147849
207	0.646147849
208	0.646147849
209	0.646147849
210	0.646147849
211	0.646147849
212	0.646147849
213	0.646147849
214	0.646147849
215	0.646147849
216	0.646147849
217	0.646147849
218	0.646147849
219	0.646147849
220	0.646147849
221	0.646147849
222	0.646147849
223	0.646147849
224	0.646147849
225	0.646147849
226	0.646147849
227	0.646147849
228	0.646147849
229	0.646147849
230	0.646147849
231	0.646147849
232	0.646147849
233	0.646147849
234	0.646147849
235	0.646147849
236	0.646147849
237	0.646147849
238	0.646147849
239	0.646147849
240	0.646147849
241	0.646147849
242	0.646147849
243	0.646147849
244	0.646147849
245	0.646147849
246	0.646147849
247	0.646147849
248	0.646147849
249	0.646147849
250	0.646147849
251	0.646147849
252	0.646147849
253	0.646147849
254	0.646147849
255	0.646147849
256	0.64252	0.64257	0.646253	0.6258	0.6461254	0.259	0.64614255	0260	0.646147256	261	0.646147257	262	0.6461478258	0.6460707692
259	0.6460707337
260	0.6460707088
261	0.64607073372262	0.6460707052
263	0.646070691
264	0.6460706484
265	0.6460706377
266	0.6460706164
267	0.6460706306
268	0.6460706342
269	0.6460706164
270	0.6460705915
271	0.6460705702
272	0.6460705666
273	0.6460705773
274	0.6460705702
275	0.6460705702
276	0.646070524
277	0.6460705524
278	0.6460705311
279	0.6460705417
280	0.6460704955
281	0.6460705026
282	0.6460704991
283	0.6460705026
284	0.6460704884
285	0.64607046
286	0.64607046
287	0.646070396
288	0.646070396
289	0.6460707159
290	0.6460706875
291	0.6460706733
292	0.6460706413
293	0.6460706662
294	0.6460706662
295	0.6460706306
296	0.6460706626
297	0.6460706697
298	0.6460706164
299	0.6460706093
300	0.6460702965
301	0.6460702609
302	0.6460702432
303	0.6460705489
304	0.646070492
305	0.6460704778
306	0.6460701365
307	0.6460701294
308	0.6460701401
309	0.6460701401
310	0.646070101
311	0.6460700939
312	0.6460701152
313	0.6460701045
314	0.6460701045
315	0.6460701045
316	0.6460701045
317	0.646070428
318	0.6460701259
319	0.646070101
320	0.6460701188
321	0.6460700761
322	0.6460700797
323	0.6460700797
324	0.6460700725
325	0.646070037
326	0.646070069
327	0.6460700619
328	0.6460699517
329	0.6460699552
330	0.6460699552
331	0.6460702787
332	0.6460699446
333	0.646069941
334	0.6460699375
335	0.646069941
336	0.6460699552
337	0.6460699481
338	0.6460699481
339	0.6460699375
340	0.6460699339
341	0.6460699304
342	0.6460699304
343	0.6460699161
344	0.6460699161
345	0.6460699161
346	0.6460699161
347	0.6460699161
348	0.6460699161
349	0.6460699161
350	0.6460699197
351	0.6460699197
352	0.6460699197
353	0.6460699197
354	0.6460699197
355	0.6460699197
